№,Секунда ,Микросекунда
1,33,286395
2,33,296672
3,33,307644
4,33,318613
5,33,329585
6,33,340555
7,33,351524
8,33,362540
9,33,373509
10,33,384525
11,33,395501
12,33,406531
13,33,417500
14,33,427613
15,33,437771
16,33,448743
17,33,459780
18,33,469860
19,33,480827
20,33,491906
21,33,501998
22,33,513020
23,33,523988
24,33,534962
25,33,545929
26,33,556901
27,33,567871
28,33,578840
29,33,589812
30,33,601780
31,33,612811
32,33,623780
33,33,634752
34,33,645235
35,33,656212
36,33,667194
37,33,712060
38,33,723035
39,33,734002
40,33,744972
41,33,755946
42,33,766969
43,33,777985
44,33,788956
45,33,799926
46,33,810897
47,33,821866
48,33,832836
49,33,843807
50,33,854778
51,33,865748
52,33,876719
53,33,887689
54,33,898661
55,33,909632
56,33,920603
57,33,931574
58,33,942543
59,33,953023
60,33,963993
61,33,974964
62,33,985935
63,33,996904
64,34,7876
65,34,18847
66,34,29819
67,34,39877
68,34,49972
69,34,60909
70,34,71880
71,34,82940
72,34,93028
73,34,103997
74,34,116963
75,34,145886
76,34,162840
77,34,174809
78,34,185779
79,34,196749
80,34,207722
81,34,218691
82,34,229662
83,34,240632
84,34,251665
85,34,262642
86,34,281893
87,34,292917
88,34,302996
89,34,314025
90,34,324094
91,34,335068
92,34,346041
93,34,357018
94,34,367990
95,34,378958
96,34,389929
97,34,400901
98,34,411872
99,34,422405
100,34,433452
101,34,444457
102,34,455484
103,34,466564
104,34,476656
105,34,487637
106,34,498217
107,34,508327
108,34,519384
109,34,530432
110,34,541401
111,34,552373
112,34,563308
113,34,574279
114,34,585250
115,34,596220
116,34,607190
117,34,618164
118,34,629210
119,34,640229
120,34,650334
121,34,660411
122,34,670468
123,34,681436
124,34,692482
125,34,703531
126,34,713590
127,34,724524
128,34,734628
129,34,745645
130,34,756615
131,34,767586
132,34,778556
133,34,789528
134,34,800499
135,34,811469
136,34,822439
137,34,833408
138,34,844379
139,34,854860
140,34,865832
141,34,876801
142,34,887771
143,34,898777
144,34,909804
145,34,920772
146,34,931746
147,34,942993
148,34,953121
149,34,963997
150,34,974403
151,34,985347
152,34,996410
153,35,7706
154,35,18572
155,35,29798
156,35,40830
157,35,51626
158,35,61880
159,35,72842
160,35,83606
161,35,93826
162,35,104792
163,35,115496
164,35,125787
165,35,136090
166,35,146660
167,35,156850
168,35,167844
169,35,178886
170,35,189103
171,35,200074
172,35,210140
173,35,220530
174,35,231573
175,35,242357
176,35,252632
177,35,263075
178,35,273273
179,35,284294
180,35,295349
181,35,306073
182,35,317304
183,35,328223
184,35,339187
185,35,350152
186,35,360563
187,35,370774
188,35,381718
189,35,392347
190,35,403328
191,35,414356
192,35,424486
193,35,435504
194,35,446788
195,35,457001
196,35,468024
197,35,478243
198,35,488532
199,35,499383
200,35,509481
201,35,519707
202,35,530426
203,35,541034
204,35,551956
205,35,562056
206,35,573363
207,35,584413
208,35,595147
209,35,605425
210,35,616352
211,35,627383
212,35,637826
213,35,648164
214,35,659135
215,35,670106
216,35,682073
217,35,693044
218,35,704067
219,35,715041
220,35,726010
221,35,737012
222,35,747951
223,35,758870
224,35,769920
225,35,780889
226,35,791947
227,35,802916
228,35,813903
229,35,824858
230,35,835830
231,35,846799
232,35,856859
233,35,867446
234,35,878475
235,35,889446
236,35,900416
237,35,916374
238,35,927344
239,35,938317
240,35,949288
241,35,960284
242,35,971295
243,35,982258
244,35,993228
245,36,4200
246,36,15169
247,36,26142
248,36,37197
249,36,48167
250,36,59138
251,36,70109
252,36,81171
253,36,92141
254,36,103112
255,36,114082
256,36,125052
257,36,136022
258,36,146995
259,36,157965
260,36,168939
261,36,179908
262,36,190880
263,36,201849
264,36,212903
265,36,223876
266,36,234918
267,36,245856
268,36,256828
269,36,267886
270,36,278858
271,36,289828
272,36,300798
273,36,311769
274,36,322745
275,36,333709
276,36,344681
277,36,354843
278,36,364904
279,36,375875
280,36,386845
281,36,396901
282,36,407876
283,36,419844
284,36,430815
285,36,440887
286,36,451911
287,36,462881
288,36,472983
289,36,483954
290,36,494922
291,36,505891
292,36,516864
293,36,527835
294,36,538805
295,36,549775
296,36,560744
297,36,570800
298,36,581853
299,36,592827
300,36,603797
